Question,Réponse,URL
"Je suis médecin, comment mes patients pourront-ils se rendre à mon cabinet ?","Pour savoir si votre cabinet est impacté par les jeux, consultez notre carte interactive en indiquant l'adresse exacte, les jours et heures des consultations : consulter la carte interactiveSi votre cabinet est situé à proximité d'un site olympique, l'accès routier peut être impacté par un périmètre de sécurité rouge, l'accès en véhicule motorisé sera interdit. S'il se situe en périmètre bleu, l'accès en véhicule motorisé sera interdit au transit. Il sera possible dans tous les cas de se rendre à votre cabinet à pied, en vélo ou en transports en commun. Pour les transports en commun, il est conseillé de consulter la carte interactive pour favoriser les stations/gares, lignes les moins fréquentées pour un déplacement plus serein. Si certains patients ne peuvent venir qu'en voiture, il sera possible de se faire déposer en taxi ou ambulance dans le périmètre rouge (consulter le tableau des autorisation, cliquer ici). Sinon, l'accès en voiture ne pourra s'effectuer qu'à la frontière du périmètre et les derniers mètres devront s'effectuer à pied.",https://anticiperlesjeux.gouv.fr/faq?page=1
"Je dois procéder à des soins médicaux auprès de mes patients à domicile, comment m'y rendre ?","Les déplacements à pied et à vélo seront possibles pendant les Jeux indépendamment des périmètres de sécurité. Les déplacements en véhicule motorisé seront impactés pour accéder aux lieux d'intervention si ces derniers sont situés dans des périmètres de sécurité. Si l'adresse concernée se situe dans un périmètre rouge, il conviendra d'effectuer une demande d'autorisation sur la plateforme numérique de la Préfecture de police (disponible au printemps) en se munissant d'un titre d'identité et d'une carte professionnelle, ou de l'attestation employeur justifiant de la mission, afin de disposer d'un laissez-passer numérique qui sera demandé pour l'accès à la zone rouge. Pour se rendre dans une zone bleue, seul un justificatif sera demandé attestant de la raison de votre déplacement (carte professionnelle par exemple). Pour savoir si vous êtes concerné, consultez notre carte interactive : indiquez l'adresse de départ, l'adresse d'arrivée, le jour et l'heure de vos déplacements :consulter la carte interactive",https://anticiperlesjeux.gouv.fr/faq?page=1
Quels seront les impacts des Jeux sur les tarifs des transports en commun en Ile-de-France ?,"Du 20 juillet au 8 septembre 2024, les tarifs des transports en commun augmenteront temporairement en Île-de-France. Vous avez un abonnement",https://anticiperlesjeux.gouv.fr/faq?page=1
"Je dois livrer des médicaments pendant les Jeux, comment m'organiser ?","Si l'établissement se situe dans un périmètre rouge, interdit à la circulation motorisée, vous devrez faire une demande de laissez-passer. Pour l’obtenir, vous devrez vous enregistrer sur la plateforme de la préfecture de Police (disponible au printemps) en fournissant les justificatifs suivants : attestation de l’employeur, certificat d’immatriculation, titre d’identité et justificatif de livraison. Pour savoir si vous êtes concerné, consultez notre carte interactive : indiquez l'adresse de départ, l'adresse d'arrivée, le jour et l'heure de vos déplacements : Consulter la carte interactiveNous vous conseillons d'adapter la gestion de vos livraisons : Travailler en amont avec son client sur la priorisation de ses livraisons, Réaménager les horaires de livraison auprès des destinataires, Augmenter les volumes de livraisons. Une rubrique a spécifiquement été dédiée aux professionnels, pensez à la consulter pour y retrouverez tous les conseils : cliquez ici.",https://anticiperlesjeux.gouv.fr/faq?page=1
"J'ai des consultations médicales dans le cadre de ma grossesse, comment puis-je m'y rendre ?","Consultez dans un premier temps notre carte interactive pour savoir si vos points de départ et d'arrivée sont concernés par les périmètres de sécurité et/ou les voies olympiques : indiquez l'adresse concernée, le jour et l'heure de vos déplacements : Consulter la carte interactiveSi vous devez vous déplacer dans les périmètres de sécurité, consultez le tableau des personnes autorisées à y circuler : cliquez ici.  Si votre point de départ et/ou d'arrivée se situe dans un périmètre rouge, vous pourrez faire une demande d'autorisation sur la plateforme numérique de la préfecture de police (disponible au printemps) afin de disposer d'un laissez-passer pour accéder à la zone. Si votre lieu de consultation est dans un périmètre bleu, vous pourrez circuler en présentant simplement un justificatif de rendez-vous, sans passer par la plateforme de la préfecture de Police.",https://anticiperlesjeux.gouv.fr/faq?page=1
"Mon accouchement est prévu cet été en Ile-de-France, comment puis-je m'organiser ?","Les restrictions de circulation concernent les périmètres de sécurité aux abords des sites de compétition et les voies olympiques. Consultez notre carte interactive des impacts sur la route en indiquant l'adresse concernée (domicile/hôpital), les jours et horaires de vos déplacements afin de savoir si vous êtes concernés par ces restrictions :Accéder à la carte interactiveSi vous devez vous déplacer dans les périmètres de sécurité, consultez le tableau des personnes autorisées à y circuler : cliquez ici.Sachez que le jour J, vous pouvez toujours faire appel à un taxi ou une ambulance qui sont autorisés à circuler sur les voies olympiques, si votre trajet est concerné. N'hésitez pas à vous rapprocher de votre hôpital pour les prévenir de la situation et demander des recommandations sur les trajets préconisés, si vous pouvez bénéficier d'une prise en charge spéciale le jour J.",https://anticiperlesjeux.gouv.fr/faq?page=1
"Je suis un personnel de santé, comment accéder à un hôpital en Ile-de-France pendant les Jeux ?","Les restrictions de circulation concernent les périmètres de sécurité aux abords des sites de compétition et les voies olympiques. Consultez notre carte interactive des impacts sur la route en indiquant l'adresse souhaitée, les jours et horaires de vos déplacements afin de savoir si vous êtes concernés par ces restrictions : Accéder à la carte interactiveSi vous devez vous déplacer dans les périmètres de sécurité, consultez le tableau des personnes autorisées à y circuler : cliquez ici.Si l'adresse concernée se situe dans un périmètre rouge, vous pourrez faire une demande d'autorisation sur la plateforme numérique de la préfecture de police (disponible au printemps) afin de disposer d'un laissez-passer numérique qui vous sera demandé pour l'accès à la zone rouge.",https://anticiperlesjeux.gouv.fr/faq?page=1
"Je suis un patient, comment accéder à un hôpital en Ile-de-France pendant les Jeux ?","Consultez dans un premier temps notre carte interactive pour savoir si vos points de départ et d'arrivée sont concernés par les périmètres de sécurité ou les voies olympiques : indiquez l'adresse souhaitée, le jour et l'heure de vos déplacements : Accéder à la carte interactiveSi l’hôpital se situe dans une zone rouge : il faudra vous inscrire sur la plateforme numérique qui sera mise en ligne par la préfecture de police au printemps 2024 en fournissant les justificatifs nécessaires afin de disposer d'un laissez-passer numérique qui vous sera demandé pour l'accès à la zone rouge. Consultez le tableau des personnes autorisées à accéder aux périmètres de sécurité : cliquez ici. Si l’hôpital se situe dans une zone bleue  : l’accès sera autorisé à tout conducteur en mesure de justifier un besoin d’accès, sur un point de passage. Le dispositif donnera lieu à des contrôles réalisés par les forces de l’ordre. Pour vous rendre à l'hôpital, si vous devez emprunter un itinéraire impacté par les voies olympiques : en véhicule personnel, vous devrez emprunter les voies non réservées aux accrédités, les véhicules d'urgence seront autorisés à circuler sur les voies olympiques.",https://anticiperlesjeux.gouv.fr/faq?page=1
"En tant que piéton ou cycliste, comment se déplacer dans les périmètres de sécurisation des compétitions ?","Les périmètres de sécurisation rouges (interdiction à la circulation) et bleus (circulation motorisée réglementée) sont accessibles pour les piétons, vélos, trottinettes sans justificatif.Les restrictions sont principalement liées aux véhicules motorisés, afin de réduire les flux de passage. Les modalités d'accès à ces périmètres seront précisées prochainement par la préfecture de Police de Paris (plateforme d'enregistrement à venir).Retrouvez des informations détaillées, par jour et par heure, sur les prévisions de circulation.Accédez à la carte interactiveQu’en est-il des déplacements en vélo-cargo",https://anticiperlesjeux.gouv.fr/faq?page=1
"En tant que résident dans un périmètre de sécurisation des compétitions, comment accéder à son habitation à pied / à vélo ?","Si vous résidez dans les périmètres rouges (interdiction de la circulation motorisée) et bleus (circulation motorisée réglementée), il est tout à fait possible de se déplacer à pied ou à vélo, trottinette, skateboard, sans justificatif.Retrouvez des informations détaillées, par jour et par heure, sur les prévisions de circulation.Accédez à la carte interactive",https://anticiperlesjeux.gouv.fr/faq?page=1
"Pour un déménagement avec son propre véhicule, comment s’organiser ?","""Pendant les Jeux Olympiques et Jeux Paralympiques, les routes seront plus fréquentées que d’habitude. Il est donc conseillé dans la mesure du possible de diminuer ses déplacements, de décaler ses horaires. Dans la mesure du possible, nous vous invitons à organiser votre déménagement avant le 24 juillet, après le 8 septembre ou entre les deux olympiades, soit entre le 12 août et le 27 août 2024.Si cela n’est pas possible, nous vous invitons à consulter les prévisions de circulation pendant les Jeux afin de privilégier les heures et les jours avec moins de trafic.Retrouvez des informations détaillées, par jour et par heure, sur les prévisions de circulation.Accédez à la carte interactiveSi vous résidez dans un périmètre rouge (interdiction à la circulation), les camions de déménagement doivent préalablement être autorisés à se déplacer dans ce périmètre rouge via un enregistrement sur la plateforme dédiée (prochainement ouverture). Les modalités d'accès à ces périmètres seront précisées prochainement par la préfecture de Police de Paris.En savoir plus pour déménager à Paris",https://anticiperlesjeux.gouv.fr/faq?page=2
"En tant que piéton ou cycliste, comment se déplacer dans les périmètres de sécurisation des compétitions ?","Les périmètres de sécurisation rouges (interdiction à la circulation) et bleus (circulation motorisée réglementée) sont accessibles pour les piétons, vélos, trottinettes sans justificatif.Les restrictions sont principalement liées aux véhicules motorisés, afin de réduire les flux de passage. Les modalités d'accès à ces périmètres seront précisées prochainement par la préfecture de Police de Paris (plateforme d'enregistrement à venir).Retrouvez des informations détaillées, par jour et par heure, sur les prévisions de circulation.Accédez à la carte interactiveQu’en est-il des déplacements en vélo-cargo",https://anticiperlesjeux.gouv.fr/faq?page=2
"En tant que professionnel dont le parking se trouve dans un périmètre de sécurité de site de compétition, comment y accéder ?","Dans le périmètre rouge, les stationnements sont autorisés sur présentation d’un justificatif, avec un accès restreint à certains horaires (accès ou sortie d’un site olympique pour une épreuve). Des points d’entrée sont spécifiquement prévus dans le périmètre pour le contrôle. Dans le périmètre bleu, les stationnements sont autorisés sur présentation d’un justificatif.Les modalités d'accès à ces périmètres seront précisées prochainement par la préfecture de Police de Paris (plateforme d'enregistrement à venir).Lors des parcours et courses sur route, les parkings privatifs situés sur le parcours, et donc dans le périmètre rouge, ne seront pas accessibles lors du passage des courses.Plus d’informations seront bientôt communiquées.Retrouvez des informations détaillées, par jour et par heure, sur les prévisions de circulation.Accédez à la carte interactive",https://anticiperlesjeux.gouv.fr/faq?page=2
"En tant que titulaire d’un abonnement de stationnement dans un parking public, quelles sont les restrictions de stationnement ?","Dans certains périmètres organisateur et SILT (Sécurité intérieure et lutte contre le terrorisme), des parkings publics situés en dessous ou en bordure immédiate de sites de compétition seront partiellement ou totalement fermés pendant toute la durée des Jeux, et possiblement pendant le montage et le démontage des Jeux. Nous vous invitons à vous rapprocher de votre concessionnaire de parking.Dans le périmètre rouge, les stationnements sont autorisés sur présentation d’un justificatif après un enregistrement préalable sur la plateforme dédiée (prochainement ouverte), avec un accès restreint à certains horaires (accès ou sortie d’un site olympique pour une épreuve). Des points d’entrée sont spécifiquement prévus dans le périmètre pour le contrôle. Plus d’informations seront bientôt communiquées.Dans le périmètre bleu, les stationnements sont autorisés sur présentation d’un justificatif.Les modalités d'accès à ces périmètres seront précisées prochainement par la préfecture de Police de Paris.Retrouvez des informations détaillées, par jour et par heure, sur les prévisions de circulation.Accédez à la carte interactive",https://anticiperlesjeux.gouv.fr/faq?page=2
"En tant que titulaire d’un abonnement de stationnement à tarif préférentiel « résident », quelles sont les restrictions de stationnement ?","Dans certains périmètres organisateur et SILT (Sécurité intérieure et lutte contre le terrorisme), des parkings publics situés en dessous ou en bordure immédiate de sites de compétition seront partiellement ou totalement fermés pendant toute la durée des Jeux, et possiblement pendant le montage et le démontage des Jeux. Nous vous invitons à vous rapprocher de votre concessionnaire de parking.Attention, si ce parking privatif se situe sur le parcours d’une course sur route, celui-ci ne sera pas accessible pendant le passage de cette dernière.Dans le périmètre rouge, les stationnements sont autorisés sur présentation d’un justificatif après un enregistrement préalable sur la plateforme dédiée (prochainement ouverte), avec un accès restreint à certains horaires (accès ou sortie d’un site olympique pour une épreuve). Des points d’entrée sont spécifiquement prévus dans le périmètre pour le contrôle. Plus d’informations seront bientôt communiquées.Dans le périmètre bleu, les stationnements sont autorisés sur présentation d’un justificatif.Les modalités d'accès à ces périmètres seront précisées prochainement par la préfecture de Police de Paris.Retrouvez des informations détaillées, par jour et par heure, sur les prévisions de circulation.Accédez à la carte interactive",https://anticiperlesjeux.gouv.fr/faq?page=2
Les taxis sont-ils autorisés à circuler dans les périmètres de sécurité ?,"Les taxis et VTC sont autorisés à circuler dans les périmètres bleus et rouges uniquement pour prendre en charge ou déposer un passager muni d'un justificatif (particuliers et professionnels ou spectateurs des Jeux). En revanche, ils ne sont pas autorisés à les traverser si leur point de départ ou d’arrivée n’est pas situé dans ces zones.Accédez à la carte interactive",https://anticiperlesjeux.gouv.fr/faq?page=2
"En tant que titulaire d’une carte de stationnement destinée aux personnes à mobilité réduire, quelles sont les restrictions de stationnement ?","Dans le périmètre rouge, les stationnements sont autorisés sur présentation d’un justificatif après un enregistrement préalable sur la plateforme dédiée (prochainement ouverte), avec un accès restreint à certains horaires (accès ou sortie d’un site olympique pour une épreuve). Des points d’entrée sont spécifiquement prévus dans le périmètre pour le contrôle. Plus d’informations seront bientôt communiquées.Dans le périmètre bleu, les stationnements sont autorisés sur présentation d’un justificatif.Les modalités d'accès à ces périmètres seront précisées prochainement par la préfecture de Police de Paris.Retrouvez des informations détaillées, par jour et par heure, sur les prévisions de circulation.Accédez à la carte interactive",https://anticiperlesjeux.gouv.fr/faq?page=2
Y aura-t-il des places de stationnement supplémentaires dans les périmètres rouges pour les spectateurs des Jeux ?,Des places de stationnement pour véhicules destinés aux personnes à mobilité réduite sont créées au plus proche des sites de compétitions avec des entrées dédiées.Plus d’informations seront bientôt disponibles.,https://anticiperlesjeux.gouv.fr/faq?page=2
Quels peuvent être les impacts pour les entreprises PME/TPE pendant les Jeux ?,"Les pouvoirs publics et les collectivités s’efforcent au maximum de limiter les contraintes sur l’activité des PME/TPE. Durant l’été 2024, certaines routes seront impactées par des restrictions de circulation avec les voies olympiques (dédiées aux véhicules accrédités) et les périmètres de sécurité autour des sites de compétition. Les déplacements liés à l’activité professionnelle risquent donc d’être affectés.Pour tout déplacement dans les périmètres rouges (interdiction de la circulation motorisée) et bleus (circulation motorisée réglementée), des modalités d'accès à ces périmètres seront précisées prochainement par la préfecture de Police de Paris.Retrouvez des informations détaillées, par jour et par heure, sur les prévisions de circulation.Accédez à la carte interactivePour anticiper au mieux les déplacements des employés, nous vous invitons à consulter la page dédiée pour découvrir nos conseils.",https://anticiperlesjeux.gouv.fr/faq?page=2
Comment sera-t-il possible d’accéder aux sites de compétitions ?,"En tant que spectateur des Jeux Olympiques et Jeux Paralympiques, vous êtes autorisés à circuler dans tous les périmètres de sécurité sur présentation de votre billet pour les compétitions.Pour vous rendre aux sites, vous pouvez utiliser les transports en commun d’Île-de-France Mobilités, mais aussi les mobilités douces comme la marche et le vélo.Des navettes seront disponibles, notamment à destination des personnes à mobilité réduite, pour desservir des zones de dépose / reprise prévues autour de chaque site olympique et paralympique.Il est également possible de venir en taxi.Pour planifier son itinéraire, nous vous invitons à consulter les prévisions de circulation pendant les Jeux afin de privilégier les heures et les jours avec moins de trafic.Retrouvez des informations détaillées, par jour et par heure, sur les prévisions de circulation.Accédez à la carte interactive",https://anticiperlesjeux.gouv.fr/faq?page=2
Quels peuvent être les impacts pour les entreprises PME/TPE pendant les Jeux ?,"Les pouvoirs publics et les collectivités s’efforcent au maximum de limiter les contraintes sur l’activité des PME/TPE. Durant l’été 2024, certaines routes seront impactées par des restrictions de circulation avec les voies olympiques (dédiées aux véhicules accrédités) et les périmètres de sécurité autour des sites de compétition. Les déplacements liés à l’activité professionnelle risquent donc d’être affectés.Pour tout déplacement dans les périmètres rouges (interdiction de la circulation motorisée) et bleus (circulation motorisée réglementée), des modalités d'accès à ces périmètres seront précisées prochainement par la préfecture de Police de Paris.Retrouvez des informations détaillées, par jour et par heure, sur les prévisions de circulation.Accédez à la carte interactivePour anticiper au mieux les déplacements des employés, nous vous invitons à consulter la page dédiée pour découvrir nos conseils.",https://anticiperlesjeux.gouv.fr/faq?page=3
Comment sera-t-il possible d’accéder aux sites de compétitions ?,"En tant que spectateur des Jeux Olympiques et Jeux Paralympiques, vous êtes autorisés à circuler dans tous les périmètres de sécurité sur présentation de votre billet pour les compétitions.Pour vous rendre aux sites, vous pouvez utiliser les transports en commun d’Île-de-France Mobilités, mais aussi les mobilités douces comme la marche et le vélo.Des navettes seront disponibles, notamment à destination des personnes à mobilité réduite, pour desservir des zones de dépose / reprise prévues autour de chaque site olympique et paralympique.Il est également possible de venir en taxi.Pour planifier son itinéraire, nous vous invitons à consulter les prévisions de circulation pendant les Jeux afin de privilégier les heures et les jours avec moins de trafic.Retrouvez des informations détaillées, par jour et par heure, sur les prévisions de circulation.Accédez à la carte interactive",https://anticiperlesjeux.gouv.fr/faq?page=3
Y aura-t-il des places de stationnement supplémentaires dans les périmètres rouges pour les spectateurs des Jeux ?,Des places de stationnement pour véhicules destinés aux personnes à mobilité réduite sont créées au plus proche des sites de compétitions avec des entrées dédiées.Plus d’informations seront bientôt disponibles.,https://anticiperlesjeux.gouv.fr/faq?page=3
